Title,Tags
Algorithm for Dynamic Client Side Throttling,<communication-protocols
"Algorithm to split an ordered, undirected graph into subtrees?",<algorithms
"Algorithm to split an ordered, undirected graph into subtrees?",<graphs
Strongly connected components on a DAG,<graph-theory
Strongly connected components on a DAG,<terminology
Strongly connected components on a DAG,<dag
Smallest class of automata model whose corresponding language class contains CFL and is closed against (dis)allowing nondeterminism in the model,<formal-languages
Smallest class of automata model whose corresponding language class contains CFL and is closed against (dis)allowing nondeterminism in the model,<context-free
Smallest class of automata model whose corresponding language class contains CFL and is closed against (dis)allowing nondeterminism in the model,<closure-properties
Smallest class of automata model whose corresponding language class contains CFL and is closed against (dis)allowing nondeterminism in the model,<computation-models
Smallest class of automata model whose corresponding language class contains CFL and is closed against (dis)allowing nondeterminism in the model,<nondeterminism
Finding max average value subrectangle at least a certain size in a 2-d sparse array,<dynamic-programming
Finding max average value subrectangle at least a certain size in a 2-d sparse array,<arrays
Can someone help me come up with a formula for calculating the difference in time?,<algorithms
"Why in a min priority queue (heap based) it is called ""decrease-key"" and not just ""set-key""?",<terminology
"Why in a min priority queue (heap based) it is called ""decrease-key"" and not just ""set-key""?",<data-structures
"Why in a min priority queue (heap based) it is called ""decrease-key"" and not just ""set-key""?",<priority-queues
Why is the class NP-Complete important compared to NP-hard?,<complexity-theory
Why is the class NP-Complete important compared to NP-hard?,<np-complete
Is the number of nodes in an ORBDD 2n + 2?,<combinatorics
Is the number of nodes in an ORBDD 2n + 2?,<bdd
"What is more important in an algorithm, small runtime or small memory usage?",<algorithm-analysis
"What is more important in an algorithm, small runtime or small memory usage?",<runtime-analysis
"What is more important in an algorithm, small runtime or small memory usage?",<space-analysis
Why is testing if x > y primitive recursive?,<computability
Why is testing if x > y primitive recursive?,<primitive-recursion
Prove Vertex-Cover of maximum degree 3 is NPC,<complexity-theory
Prove Vertex-Cover of maximum degree 3 is NPC,<np-complete
Prove Vertex-Cover of maximum degree 3 is NPC,<reductions
Complexity of dynamic programming algorithm for Knapsack,<algorithm-analysis
Complexity of dynamic programming algorithm for Knapsack,<runtime-analysis
Complexity of dynamic programming algorithm for Knapsack,<dynamic-programming
Complexity of dynamic programming algorithm for Knapsack,<pseudo-polynomial
Is the unsolvability of the N-Body Problem equivalent to the Halting Problem,<computability
Is the unsolvability of the N-Body Problem equivalent to the Halting Problem,<turing-machines
Is the unsolvability of the N-Body Problem equivalent to the Halting Problem,<undecidability
Is the unsolvability of the N-Body Problem equivalent to the Halting Problem,<computation-models
Finding the distance to the nearest neighbor for each point in a set of points in $R^n$,<data-structures
Finding the distance to the nearest neighbor for each point in a set of points in $R^n$,<computational-geometry
"Language of Turing machines that loop on all inputs, recognizable?",<turing-machines
"Language of Turing machines that loop on all inputs, recognizable?",<decision-problem
Is computing 2^n NP-complete problems EXPTIME or NEXPTIME complete?,<complexity-theory
Is computing 2^n NP-complete problems EXPTIME or NEXPTIME complete?,<time-complexity
Proof on tree size using Isabelle,<proof-techniques
Proof on tree size using Isabelle,<induction
Proof on tree size using Isabelle,<proof-assistants
Proof on tree size using Isabelle,<isabelle
"Relation between the ""Point-Cover-Interval"" problem and the ""Interval Scheduling"" problem",<algorithms
"Relation between the ""Point-Cover-Interval"" problem and the ""Interval Scheduling"" problem",<reductions
"Relation between the ""Point-Cover-Interval"" problem and the ""Interval Scheduling"" problem",<greedy-algorithms
Is there a name for an inverted state machine?,<terminology
Is there a name for an inverted state machine?,<reference-request
Is there a name for an inverted state machine?,<automata
Is there a name for an inverted state machine?,<computation-models
Is it known whether the MD5 algorithm is surjective?,<reference-request
Is it known whether the MD5 algorithm is surjective?,<hash
what are the key advantages of pipelining,<computer-architecture
what are the key advantages of pipelining,<cpu-pipelines
What is MVC architecture?,<software-engineering
Split in AVL tree with complexity $O(\log n)$,<data-structures
Split in AVL tree with complexity $O(\log n)$,<search-trees
Split in AVL tree with complexity $O(\log n)$,<balanced-search-trees
Extended version of the theory of reals and its decidability,<logic
Extended version of the theory of reals and its decidability,<decision-problem
Extended version of the theory of reals and its decidability,<real-numbers
What happens if the associativity level is greater than the cache size?,<computer-architecture
What happens if the associativity level is greater than the cache size?,<sets
What happens if the associativity level is greater than the cache size?,<memory-management
What happens if the associativity level is greater than the cache size?,<cpu-cache
What happens if the associativity level is greater than the cache size?,<memory-access
Amortized analysis of binary counter with increment and resetting operations,<algorithms
Amortized analysis of binary counter with increment and resetting operations,<algorithm-analysis
Amortized analysis of binary counter with increment and resetting operations,<amortized-analysis
How to interpret these asymptotic runtime bounds for discrete logarithm algorithms?,<asymptotics
Computational complexity of function $U^V$,<complexity-theory
A Myhill-Nerode type characterization of the regular languages using fooling sets?,<regular-languages
A Myhill-Nerode type characterization of the regular languages using fooling sets?,<communication-complexity
Is this cache entry a hit or a miss?,<computer-architecture
Is this cache entry a hit or a miss?,<memory-management
Is this cache entry a hit or a miss?,<cpu-cache
Is this cache entry a hit or a miss?,<memory-hardware
Is this cache entry a hit or a miss?,<memory-access
Is a 2 address machine more likely to follow a RISC or CISC design?,<computer-architecture
Is a 2 address machine more likely to follow a RISC or CISC design?,<operating-systems
Formula for returning the size of a circular array,<data-structures
When is a permutation k-wise independent?,<permutations
Parallel shortest path in directed acyclic graphs,<graphs
Parallel shortest path in directed acyclic graphs,<parallel-computing
Parallel shortest path in directed acyclic graphs,<graph-traversal
How is the Varshamov-Tenegolts code decoded?,<coding-theory
How is the Varshamov-Tenegolts code decoded?,<error-correcting-codes
How is the Varshamov-Tenegolts code decoded?,<edit-distance
How many bits would be needed for the byte?,<computer-architecture
How many bits would be needed for the byte?,<cpu-cache
How many bits would be needed for the byte?,<memory-access
How to check if two program are simulated or bisimulated?,<semantics
How to check if two program are simulated or bisimulated?,<operational-semantics
"Solving $T(n)=2T(n/2) + n \lg n$ , For ex: Counting inversions implemented with full mergesort",<algorithms
"Solving $T(n)=2T(n/2) + n \lg n$ , For ex: Counting inversions implemented with full mergesort",<recurrence-relation
"Solving $T(n)=2T(n/2) + n \lg n$ , For ex: Counting inversions implemented with full mergesort",<recursion
"Solving $T(n)=2T(n/2) + n \lg n$ , For ex: Counting inversions implemented with full mergesort",<master-theorem
"Solving $T(n)=2T(n/2) + n \lg n$ , For ex: Counting inversions implemented with full mergesort",<divide-and-conquer
A many-to-many mapping data structure,<data-structures
A many-to-many mapping data structure,<dictionaries
How to store linguistic data?,<databases
How to store linguistic data?,<natural-lang-processing
How to store linguistic data?,<knowledge-representation
How to read this inductive language definition?,<formal-languages
How to read this inductive language definition?,<induction
How to read this inductive language definition?,<mathematical-foundations
Union of two languages,<formal-languages
Union of two languages,<regular-languages
What is the appropriate algorithm for bipartite matching with constraints?,<algorithms
What is the appropriate algorithm for bipartite matching with constraints?,<graph-theory
What is the appropriate algorithm for bipartite matching with constraints?,<assignment-problem
Why is this flow a max flow?,<algorithms
Why is this flow a max flow?,<network-flow
Why is this flow a max flow?,<ford-fulkerson
Why is this flow a max flow?,<max-flow
Prove that Ford-Fulkerson can decide if there is more than one min cuts,<algorithms
Prove that Ford-Fulkerson can decide if there is more than one min cuts,<correctness-proof
Prove that Ford-Fulkerson can decide if there is more than one min cuts,<network-flow
Why does the firefly algorithm need an intensity function?,<algorithms
Why does the firefly algorithm need an intensity function?,<algorithm-analysis
Why does the firefly algorithm need an intensity function?,<optimization
AMAT question cache here,<computer-architecture
AMAT question cache here,<cpu-cache
Optimising buffer allocation in a shared buffer (with total max capacity),<optimization
Optimising buffer allocation in a shared buffer (with total max capacity),<queueing-theory
How the code travels,<books
Is there any published paper about automated planning software used in the ESA Rosetta mission?,<reference-request
Is there any published paper about automated planning software used in the ESA Rosetta mission?,<artificial-intelligence
Is there any published paper about automated planning software used in the ESA Rosetta mission?,<planning
"How are graph representations containing only (i, j) instead of both (i, j) and (j, i) named?",<terminology
"How are graph representations containing only (i, j) instead of both (i, j) and (j, i) named?",<graphs
"How are graph representations containing only (i, j) instead of both (i, j) and (j, i) named?",<data-structures
"How are graph representations containing only (i, j) instead of both (i, j) and (j, i) named?",<weighted-graphs
Formal Languages and Automata Theory,<formal-languages
Difference Between Small and Big-step Operational Semantics,<semantics
Difference Between Small and Big-step Operational Semantics,<operational-semantics
Difference Between Small and Big-step Operational Semantics,<small-step-semantics
Minimum vertices to cover other vertices with max weight,<algorithms
Minimum vertices to cover other vertices with max weight,<graphs
Minimum vertices to cover other vertices with max weight,<dynamic-programming
(operationalizable) Cost measure for small problems,<complexity-theory
(operationalizable) Cost measure for small problems,<kolmogorov-complexity
What is a contiguous subarray?,<terminology
What is a contiguous subarray?,<arrays
What is a contiguous subarray?,<maximum-subarray
Are deterministic and nondeterministic Cellular Automata equivalent?,<closure-properties
Are deterministic and nondeterministic Cellular Automata equivalent?,<computation-models
Are deterministic and nondeterministic Cellular Automata equivalent?,<nondeterminism
Are deterministic and nondeterministic Cellular Automata equivalent?,<cellular-automata
Is it possible to implement a dictionary with efficient access according to insertion order?,<data-structures
Is it possible to implement a dictionary with efficient access according to insertion order?,<efficiency
Is it possible to implement a dictionary with efficient access according to insertion order?,<dictionaries
Updating an MST $T$ when the weight of an edge not in $T$ is decreased,<algorithms
Updating an MST $T$ when the weight of an edge not in $T$ is decreased,<graph-theory
Updating an MST $T$ when the weight of an edge not in $T$ is decreased,<correctness-proof
Updating an MST $T$ when the weight of an edge not in $T$ is decreased,<weighted-graphs
Updating an MST $T$ when the weight of an edge not in $T$ is decreased,<minimum-spanning-tree
"Markov algorithm: pick rule first, then position, or the other way around?",<terminology
"Markov algorithm: pick rule first, then position, or the other way around?",<computation-models
"Markov algorithm: pick rule first, then position, or the other way around?",<didactics
What is the name for the complexity class $O(n^{1+\epsilon})$,<terminology
What is the name for the complexity class $O(n^{1+\epsilon})$,<asymptotics
What is the name for the complexity class $O(n^{1+\epsilon})$,<landau-notation
What is the advantage of seperate chaining over open addressing?,<data-structures
What is the advantage of seperate chaining over open addressing?,<hash-tables
What is the advantage of seperate chaining over open addressing?,<dictionaries
Algorithm deciding if a radius of a graph is two,<algorithms
Algorithm deciding if a radius of a graph is two,<graph-theory
How to draw a graph to disprove this statement?,<algorithms
How to draw a graph to disprove this statement?,<graph-theory
How to draw a graph to disprove this statement?,<graphs
How to draw a graph to disprove this statement?,<proof-techniques
How to draw a graph to disprove this statement?,<weighted-graphs
Why is T not a minimum spanning tree of G?,<algorithms
Why is T not a minimum spanning tree of G?,<graph-theory
Why is T not a minimum spanning tree of G?,<graphs
Why is T not a minimum spanning tree of G?,<proof-techniques
Why is T not a minimum spanning tree of G?,<weighted-graphs
purpose of supercomputers,<computer-architecture
Who converts binary/machine code to electrical signals and how?,<computer-architecture
Who converts binary/machine code to electrical signals and how?,<memory-hardware
An AC$^1$ circuit for 2-SAT,<circuits
"How can P=NP relate to creativity and proof automation, as said by Scott Aaronson?",<complexity-theory
"How can P=NP relate to creativity and proof automation, as said by Scott Aaronson?",<complexity-classes
How to construct XOR gate using only 4 NAND gate?,<logic
How to construct XOR gate using only 4 NAND gate?,<boolean-algebra
How to calculate Huffman code length without generating the actual huffman code?,<algorithms
How to calculate Huffman code length without generating the actual huffman code?,<image-processing
How to calculate Huffman code length without generating the actual huffman code?,<data-compression
Cases of Master Theorem,<proof-techniques
Cases of Master Theorem,<recurrence-relation
Cases of Master Theorem,<master-theorem
What is the standard notation for introducing syntactical formalism in a paper,<notation
permutations sampling by probability matrix,<combinatorics
permutations sampling by probability matrix,<permutations
permutations sampling by probability matrix,<sampling
"How to convert CFG with Kleene Star, Kleene Plus, and Question Mark to Chomsky Normal Form?",<formal-languages
"How to convert CFG with Kleene Star, Kleene Plus, and Question Mark to Chomsky Normal Form?",<formal-grammars
Can Reduction for Undecidability/Decidability Problems Go Both Ways?,<turing-machines
Can Reduction for Undecidability/Decidability Problems Go Both Ways?,<automata
Can Reduction for Undecidability/Decidability Problems Go Both Ways?,<undecidability
Could an NP-hard problem have a mechanical or physical solution method?,<complexity-theory
Could an NP-hard problem have a mechanical or physical solution method?,<np-hard
Could an NP-hard problem have a mechanical or physical solution method?,<p-vs-np
Could an NP-hard problem have a mechanical or physical solution method?,<physics
"In-place ""clumping-by-color"" algorithm faster than sorting by color?",<algorithms
"In-place ""clumping-by-color"" algorithm faster than sorting by color?",<sorting
"In-place ""clumping-by-color"" algorithm faster than sorting by color?",<permutations
Consensus problem of distributed systems,<distributed-systems
If the two generals problem is unsolvable how can we human beings agree on things?,<computer-networks
If the two generals problem is unsolvable how can we human beings agree on things?,<communication-protocols
"Get the nth lexicographic string of ""all"" possible combinations of an alphabet",<algorithms
Multiple FPT Parameters,<complexity-theory
Multiple FPT Parameters,<parameterized-complexity
Symmetric protocols for consensus,<distributed-systems
Symmetric protocols for consensus,<consensus
How much bits need to add to 100bit of data in order to correct up to 10bits?,<information-theory
How much bits need to add to 100bit of data in order to correct up to 10bits?,<encoding-scheme
How much bits need to add to 100bit of data in order to correct up to 10bits?,<error-correcting-codes
Are there any known AM-complete problems/is AM-complete well defined?,<complexity-theory
Are there any known AM-complete problems/is AM-complete well defined?,<reductions
Are there any known AM-complete problems/is AM-complete well defined?,<complexity-classes
Are there any known AM-complete problems/is AM-complete well defined?,<interactive-proof-systems
How does this instruction format limit the number of memory addresses?,<computer-architecture
Counting Number of arrays where sum of ith row is greater or equal to (i-1)th row,<algorithms
Counting Number of arrays where sum of ith row is greater or equal to (i-1)th row,<permutations
"A and B are Turing recognizable, is A - B Turing recognizable?",<computability
"A and B are Turing recognizable, is A - B Turing recognizable?",<closure-properties
"A and B are Turing recognizable, is A - B Turing recognizable?",<semi-decidability
Irregularity of L = {a^i b^(j+3)| i!=j },<formal-languages
Irregularity of L = {a^i b^(j+3)| i!=j },<regular-languages
Irregularity of L = {a^i b^(j+3)| i!=j },<pumping-lemma
Is this method of proving non-regularity is equivalent to pumping lemma?,<regular-languages
Is this method of proving non-regularity is equivalent to pumping lemma?,<automata
Is this method of proving non-regularity is equivalent to pumping lemma?,<finite-automata
Is this method of proving non-regularity is equivalent to pumping lemma?,<regular-expressions
How n (1+b) is not prime?,<number-theory
How n (1+b) is not prime?,<primes
Is the language $L=\{a^{2^{n}} \mid$ n is a natural number$\} $ context free?,<formal-languages
Is the language $L=\{a^{2^{n}} \mid$ n is a natural number$\} $ context free?,<context-free
Is the language $L=\{a^{2^{n}} \mid$ n is a natural number$\} $ context free?,<pumping-lemma
"How to prove that the language { ww | w ∈ {a,b}* } is / isn't context free?",<formal-languages
"How to prove that the language { ww | w ∈ {a,b}* } is / isn't context free?",<context-free
"How to prove that the language { ww | w ∈ {a,b}* } is / isn't context free?",<pumping-lemma
if P=NP then $L\leq L'$ for all languages,<complexity-theory
if P=NP then $L\leq L'$ for all languages,<computability
Why are decision problems easier than the equivallent optimization problems?,<complexity-theory
Why are decision problems easier than the equivallent optimization problems?,<optimization
Why are decision problems easier than the equivallent optimization problems?,<reductions
Why are decision problems easier than the equivallent optimization problems?,<decision-problem
Can a language be Turing Complete if its only provision for unlimited code/memory is through recursion?,<programming-languages
Can a language be Turing Complete if its only provision for unlimited code/memory is through recursion?,<turing-completeness
Can a language be Turing Complete if its only provision for unlimited code/memory is through recursion?,<language-design
How to solve T(n) = T(n-1) + n^2?,<recurrence-relation
Could min cut be easier than network flow?,<complexity-theory
Could min cut be easier than network flow?,<reductions
Could min cut be easier than network flow?,<network-flow
Could min cut be easier than network flow?,<graph-algorithms
Solving the graph colourability problem in polynomial time if the equivallent decision problem is in $P$,<algorithms
Solving the graph colourability problem in polynomial time if the equivallent decision problem is in $P$,<complexity-theory
Solving the graph colourability problem in polynomial time if the equivallent decision problem is in $P$,<graphs
Order-preserving update of a sublist of a list of mutable objects in sublinear time,<data-structures
Order-preserving update of a sublist of a list of mutable objects in sublinear time,<linked-lists
Order-preserving update of a sublist of a list of mutable objects in sublinear time,<lists
Order-preserving update of a sublist of a list of mutable objects in sublinear time,<balanced-search-trees
Order-preserving update of a sublist of a list of mutable objects in sublinear time,<ordering
How do calculators convert from decimal to fraction?,<algorithms
How do calculators convert from decimal to fraction?,<number-formats
Codes for correcting a single deletion and re-ranking of a permutation,<error-correcting-codes
Codes for correcting a single deletion and re-ranking of a permutation,<code-generation
Top-down typing strategy - is there a name for this?,<programming-languages
Top-down typing strategy - is there a name for this?,<compilers
Top-down typing strategy - is there a name for this?,<type-theory
Top-down typing strategy - is there a name for this?,<type-inference
Top-down typing strategy - is there a name for this?,<language-design
Non-Midpoint Segment Splitting in Ruppert's Delaunay Triangulation Refinement Algorithm,<computational-geometry
Computing optimal assignments using little memory,<algorithms
Computing optimal assignments using little memory,<data-structures
Computing optimal assignments using little memory,<optimization
Computing optimal assignments using little memory,<matching
Computing optimal assignments using little memory,<bipartite-matching
Simple error in C,<c
pragmatic way to compute/ search/ match MSBs operation,<algorithms
pragmatic way to compute/ search/ match MSBs operation,<time-complexity
pragmatic way to compute/ search/ match MSBs operation,<arithmetic
Data structure for sparse matrices for an online problem,<algorithms
Data structure for sparse matrices for an online problem,<data-structures
Data structure for sparse matrices for an online problem,<optimization
Data structure for sparse matrices for an online problem,<online-algorithms
Data structure for sparse matrices for an online problem,<sparse-matrices
Algorithm: Cracking the Safe,<algorithms
Algorithm: Cracking the Safe,<algorithm-analysis
Algorithm: Cracking the Safe,<data-structures
Algorithm: Cracking the Safe,<combinatorics
Algorithm: Cracking the Safe,<group-theory
In a distributed system is it possible for both parties to simultaneously agree a message exchange was made?,<distributed-systems
Creating a LCG with m = 32767,<random-number-generator
How to cluster similar objects into fixed size groups?,<algorithms
How to cluster similar objects into fixed size groups?,<dynamic-programming
How to cluster similar objects into fixed size groups?,<randomized-algorithms
How to cluster similar objects into fixed size groups?,<greedy-algorithms
How to cluster similar objects into fixed size groups?,<cluster
CFG for all string that don't end at ba?,<context-free
CFG for all string that don't end at ba?,<formal-grammars
"For all nodes in a directed graph, find whether they are on a non trivial cycle (length > 2)",<algorithms
"For all nodes in a directed graph, find whether they are on a non trivial cycle (length > 2)",<graphs
Find a sorting procedure for seven elements that minimises the average number of comparisons performed,<algorithms
Find a sorting procedure for seven elements that minimises the average number of comparisons performed,<sorting
Find a sorting procedure for seven elements that minimises the average number of comparisons performed,<efficiency
Sum of element of all subset of size k,<algorithms
What is bi-binary code?,<encoding-scheme
Finding a good loop invariant,<correctness-proof
Finding a good loop invariant,<software-verification
Finding a good loop invariant,<loop-invariants
What would be CFG for all strings which does not contain bbb?,<context-free
What would be CFG for all strings which does not contain bbb?,<formal-grammars
How to get samples of different paths?,<algorithms
How to get samples of different paths?,<graphs
How to get samples of different paths?,<enumeration
How to get samples of different paths?,<sampling
What is the limit for Turing machines with 2 states and 3 symbols that halt?,<formal-languages
What is the limit for Turing machines with 2 states and 3 symbols that halt?,<computability
What is the limit for Turing machines with 2 states and 3 symbols that halt?,<turing-machines
"Undirected graph G that has 12 vertices, 66 edges and 3 connected components?",<graph-theory
"Undirected graph G that has 12 vertices, 66 edges and 3 connected components?",<combinatorics
Why is self-information defined the way it is?,<information-theory
Select the n closest nodes from a starting node in a weighted directed graph,<algorithms
Select the n closest nodes from a starting node in a weighted directed graph,<graphs
Select the n closest nodes from a starting node in a weighted directed graph,<search-algorithms
How can I prove this language is not CFL?,<formal-languages
How can I prove this language is not CFL?,<context-free
How can I prove this language is not CFL?,<formal-grammars
How do global variables and automatic variables with the same name interact?,<programming-languages
How do global variables and automatic variables with the same name interact?,<variable-binding
How do global variables and automatic variables with the same name interact?,<language-design
Finding partial traveling salesman path of specified length,<graph-theory
Finding partial traveling salesman path of specified length,<shortest-path
Finding partial traveling salesman path of specified length,<traveling-salesman
Finding partial traveling salesman path of specified length,<hamiltonian-path
Does XML covers the representation of any structured data and knowledge,<data-structures
Does XML covers the representation of any structured data and knowledge,<database-theory
Does XML covers the representation of any structured data and knowledge,<knowledge-representation
Prove this language is not CFL,<formal-languages
Prove this language is not CFL,<context-free
Prove this language is not CFL,<formal-grammars
What does feedforward inversion mean in the context of convolution and catastrophic codes?,<terminology
What does feedforward inversion mean in the context of convolution and catastrophic codes?,<coding-theory
What does feedforward inversion mean in the context of convolution and catastrophic codes?,<error-correcting-codes
What TSP variant doesn't return to start point?,<traveling-salesman
Machine learning algorithm(s) for recognizing simple graph patterns,<machine-learning
Machine learning algorithm(s) for recognizing simple graph patterns,<artificial-intelligence
Machine learning algorithm(s) for recognizing simple graph patterns,<pattern-recognition
Machine learning algorithm(s) for recognizing simple graph patterns,<hidden-markov-models
What is the difference between cyber security ontologies and scenario ontologies in this system?,<terminology
What is the difference between cyber security ontologies and scenario ontologies in this system?,<knowledge-representation
What is the difference between cyber security ontologies and scenario ontologies in this system?,<ontologies
Locally finite graph without an optimal path,<graph-theory
Locally finite graph without an optimal path,<graphs
Which element is at its final position after the partitioning step in Quicksort?,<algorithms
Which element is at its final position after the partitioning step in Quicksort?,<correctness-proof
Which element is at its final position after the partitioning step in Quicksort?,<quicksort
Which element is at its final position after the partitioning step in Quicksort?,<partition
Quicksort bounds,<algorithms
Quicksort bounds,<quicksort
Algorithm for multiplying multivariate polynomials,<algorithms
Algorithm for multiplying multivariate polynomials,<arithmetic
Algorithm for multiplying multivariate polynomials,<integers
Algorithm for multiplying multivariate polynomials,<polynomials
Algorithm for multiplying multivariate polynomials,<multiplication
Selecting k-1 items that divide a sorted array to k equal parts,<algorithms
Selecting k-1 items that divide a sorted array to k equal parts,<selection-problem
Contraint with three variables into three binary constraints,<constraint-satisfaction
"Prove/ Disprove: For every nontrivial $A,B \in R (RE)$, $A\le_m B$",<computability
FSM + state data is Turing complete abstraction?,<finite-automata
FSM + state data is Turing complete abstraction?,<turing-completeness
d-ary heapsort analysis,<data-structures
d-ary heapsort analysis,<runtime-analysis
d-ary heapsort analysis,<sorting
d-ary heapsort analysis,<heaps
How to identify and find navels from human pics,<machine-learning
How to identify and find navels from human pics,<image-processing
How to identify and find navels from human pics,<pattern-recognition
Using the pumping lemma to prove that a language is context-free,<formal-languages
Using the pumping lemma to prove that a language is context-free,<context-free
Using the pumping lemma to prove that a language is context-free,<pumping-lemma
Augment B+ Tree to support given search query,<data-structures
Augment B+ Tree to support given search query,<search-trees
Augment B+ Tree to support given search query,<balanced-search-trees
mapping reduction for every recursive language,<computability
mapping reduction for every recursive language,<reductions
mapping reduction for every recursive language,<undecidability
mapping reduction for every recursive language,<closure-properties
2D version of LeetCode house robber problem,<algorithms
2D version of LeetCode house robber problem,<dynamic-programming
Random uniform sampling of position restricted permutations,<combinatorics
Random uniform sampling of position restricted permutations,<randomized-algorithms
Random uniform sampling of position restricted permutations,<permutations
Random uniform sampling of position restricted permutations,<sampling
$k$-Multiset intersection efficient algorithm,<algorithms
$k$-Multiset intersection efficient algorithm,<sets
Computing a boolean function with a small formula,<circuits
Computing a boolean function with a small formula,<boolean-algebra
"Given asymptotic bounds, what can we say about small n?",<asymptotics
"Given asymptotic bounds, what can we say about small n?",<landau-notation
RAW Data Hazard resolution,<computer-architecture
RAW Data Hazard resolution,<memory-hardware
Find 8 numbers whose sum is closest to a defined value,<algorithms
Find 8 numbers whose sum is closest to a defined value,<integers
Find 8 numbers whose sum is closest to a defined value,<knapsack-problems
Implementing wait-free consensus with queues,<algorithms
Implementing wait-free consensus with queues,<reference-request
Implementing wait-free consensus with queues,<concurrency
Implementing wait-free consensus with queues,<synchronization
Context free grammar for this language,<formal-languages
Context free grammar for this language,<context-free
How to make the standard DP algorithm for 0/1 Knapsack make larger steps?,<algorithms
How to make the standard DP algorithm for 0/1 Knapsack make larger steps?,<optimization
How to make the standard DP algorithm for 0/1 Knapsack make larger steps?,<dynamic-programming
How to make the standard DP algorithm for 0/1 Knapsack make larger steps?,<knapsack-problems
Construct Turing Machine which accepts the language $ww$,<formal-languages
Construct Turing Machine which accepts the language $ww$,<turing-machines
Construct Turing Machine which accepts the language $ww$,<automata
Minimal length of a string that contains two strings,<algorithms
Minimal length of a string that contains two strings,<optimization
Minimal length of a string that contains two strings,<dynamic-programming
Minimal length of a string that contains two strings,<strings
Practical algorithms for the disjoint paths problem,<algorithms
Practical algorithms for the disjoint paths problem,<graphs
"Minimal number of attempts at a multiple choice exam needed in order to pass, without any prior knowledge",<combinatorics
"Minimal number of attempts at a multiple choice exam needed in order to pass, without any prior knowledge",<probability-theory
"Minimal number of attempts at a multiple choice exam needed in order to pass, without any prior knowledge",<randomized-algorithms
Necessities for two undirected graphs being isomorphic,<graph-theory
Necessities for two undirected graphs being isomorphic,<graphs
Necessities for two undirected graphs being isomorphic,<graph-isomorphism
The pumping lemma - Proving that this language is NOT context free,<formal-languages
The pumping lemma - Proving that this language is NOT context free,<context-free
The pumping lemma - Proving that this language is NOT context free,<pumping-lemma
Algorithms that are using John's ellipsoid,<algorithms
Algorithms that are using John's ellipsoid,<reference-request
Algorithms that are using John's ellipsoid,<optimization
Algorithms that are using John's ellipsoid,<computational-geometry
Computing the k shortest edge-disjoint paths on a weighted graph,<algorithms
Computing the k shortest edge-disjoint paths on a weighted graph,<graphs
Computing the k shortest edge-disjoint paths on a weighted graph,<shortest-path
Computing the k shortest edge-disjoint paths on a weighted graph,<weighted-graphs
"What is the formal name for an ""entry"" in an ontology?",<terminology
